id,genres,cast,writers,production_companies,director,producers,original_language,runtime,rating,main_genre,lang,cast_count,writers_count,director_known
1,Unknown,"Kumiko Ito, Yasuhiro Suzu, Tomoyo Harada, Yoshio Harada, Haduki Kozu, Yumiko Fujita, Shiho Takano, Tetta Sugimoto",Mai Sawaki,Unknown,Tadakazu Takahashi,"Mai Sawaki, Setsuyo Hatanaka, Kenji Kato",ja,104,5.0,Unknown,ja,8,1,1
2,"Action, Drama, Crime","Micael Borges, Francine da Cruz, Marcelo Mello Jr., Antônio Fagundes, Gabriel Braga Nunes, Cauã Reymond, Gláucio Gomes, Jefferson Brasil, Andrea Cavalcanti, Marco Sorriso, Izak Dahora, Kikito Junqueira, Aisha Jambo, Otávio Müller, Kevin Mota, Milhem Cortaz, Mariana Nunes, MC Smith, Salomão da Silva Campos, Caio Blat, Francisco Gil, Alcemar Vieira, Ezequiel Martins Custódio, Genilda Maria","Rodrigo Teixeira, Gabriel Martins, Leonardo Levis","RT Features, Camisa Treze",José Eduardo Belmonte,"Raphael Mesquita, Rodrigo Teixeira, Angelo Defanti",pt,109,6.2,Action,pt,24,3,1
3,"Music, Comedy, Romance","Milú, Andrade e Silva, Mário Alberto, António Silva, Vasco Morgado, Eugénio Salvador, Maria Luísa","Manuel da Fonseca, Perdigão Queiroga, Eduardo Damas, Manuel Paião",Lisboa Filme,Perdigão Queiroga,Unknown,pt,98,6.5,Music,pt,7,4,1
4,"Thriller, Crime, Drama","Andreea Vasile, Dan Condurache, Mihai Smarandache, Mihai Constantin, Emilian Oprea, Virgil Ogășanu, Liviu Pintileasa","Tudor Giurgiu, Loredana Novak","Chouchkov Brothers, Libra Film, Cor Leonis Films",Tudor Giurgiu,Oana Giurgiu,ro,125,7.0,Thriller,ro,7,2,1
5,Drama,"David Eilander, Marcel Hensema, Pauline Greidanus, Marcel Faber, Elise Schaap",Dick Tuinder,Column Productions,Dick Tuinder,Unknown,nl,94,7.7,Drama,nl,5,1,1
6,Comedy,"Richard Erdman, Edward Arnold, Ann Gillis, Robert Benchley, Hattie McDaniel, Barbara Brown, Margaret Hamilton, Joan Leslie, Ruth Tobey, William Frambes, Ann Harding, Clare Foley, Donald Meek, Robert Hutton, Dorothy Malone",Agnes Christine Johnston,Warner Bros. Pictures,Vincent Sherman,"Alex Gottlieb, Jack L. Warner",en,89,6.0,Comedy,en,15,1,1
7,"Romance, Comedy","James Burke, Esther Howard, Fay Bainter, Barbara Bates, Mary Wickes, Sandra Gould, Jerome Cowan, Robert Montgomery, Marjorie Bennett, Raymond Roe, Tom Tully, George O'Hanlon, Ray Montgomery, Betty Lynn, Debbie Reynolds, Bette Davis","Eileen Tighe, Ranald MacDougall, Graeme Lorimer",Warner Bros. Pictures,Bretaigne Windust,"Jack L. Warner, Henry Blanke",en,96,7.278,Romance,en,16,3,1
8,"Fantasy, Science Fiction","Vasilica Tastaman, Dem Rădulescu, Rodica Popescu Bitănescu, George Mihăiță, Jorj Voicu, Martha Hertzegh, Petre Taranu, Cornel Coman, Horea Popescu",Ion Popescu-Gopo,Filmstudio București,Ion Popescu-Gopo,Unknown,ro,84,7.0,Fantasy,ro,9,1,1
9,"Action, Thriller, Horror","Jonathan Stoddard, Juliet Lopez, Ricardo Mestres, Duncan Perry, Mikhail Bugaev, Edgar Pavsner, Elise Berggreen, Danielle Poblarp, Matt Munroe, Anthony McKeown, Alan Hanson, Jennifer Khoe, Jeremy Iversen, Brenda Pollock, Trinity Bliss",Billy Hanson,Dirigo Entertainment,Billy Hanson,"Jonathan Stoddard, Jaclyn Amor, Billy Hanson, Ness Wilson",en,109,3.9,Action,en,15,1,1
10,"Drama, Comedy, Horror","Ximena Rubio, Iván Arana, José María de Tavira, Amaury Jair, Álvaro Verduzco, Diego Luna, Beatriz Arjona, La Juani, Anajosé Aldrete, Isaac Elizalde Guitrón, Luis Reyes García, José Ángel Bichir, Flor Eduarda Gurrola",Artemio Narro,"mar, Cuarto Para las Doce, Endímia, el llanero solirario",Artemio Narro,"Carlos Narro, Ixel Rion, Renato Ornelas, Rubén Gutiérrez",es,100,5.389,Drama,es,13,1,1
11,"Mystery, Crime","Fernand Berset, Jean-Paul Muel, Jeanne Herviale, Suzanne Wolff, Michel Galabru, Dorine Oliver, André Lacombe, Alain Mottet, Chantal Dupuy, Daniel Auteuil, Fanny Cottençon, Antoine Mozin, Dominique Goron, Annick Alane, Jenny Clève, Geoffrey Carey, Gabriel Jabbour, Manuela Gourary, Jean Rougerie, André Julien, Bertrand Hautot, Christian Zanetti, Claude Villers, Mort Shuman, Pierre Frag","Bob Swaim, Robert Réa, Pierre Fabre, Léo Malet, Alain Petit","Peri Productions, Filmologies, Oriane Productions",Bob Swaim,Joël Foulon,fr,96,4.0,Mystery,fr,25,5,1
12,Drama,"Kody Burns, Arthur ""Butch"" Dixon, Richard Williams, David Slemmons, Katie Williams, Sydne Rain Gray, Richard Ray Whitman, Tatiana Rioseco","Carolina Rueda, Marcelo Rioseco",Unknown,Carolina Rueda,Unknown,en,71,5.3,Drama,en,8,2,1
13,"Comedy, Drama","Clovis Cornillac, Nelson Petronaci, Géraldine Salès, Jean-Pierre Martins, Hubert Delattre, Sophie Guillemin, Mehdi Senoussi, Sébastien Chabane, Olivia Côte, Chad Chenouga, Eye Haïdara, Laurence Côte, Shirel Nataf","Michel Tavarès, Karine Blanc","Les Films du 24, France 3 Cinéma","Michel Tavarès, Karine Blanc",Yves Marmion,fr,102,6.2,Comedy,fr,13,2,1
14,Unknown,"Arnis Līcītis, Aleksandr Fatyushin, Boris Shcherbakov, Oleg Kharitonov",Valeri Schepotin,Unknown,Grigori Torchinsky,Unknown,en,81,1.0,Unknown,en,4,1,1
15,Drama,"Aurélien Patouillard, André Wilms, Baptiste Coustenoble, Olivia Csiky Trnka, Elina Löwensohn, Antonin Schopfer, Steven C. Matthews, Pierre-Antoine Dubey, Bruno Ganz, Magali Heu, Paul Laurent",Unknown,Unknown,Jacob Berger,Unknown,fr,72,4.1,Drama,fr,11,0,1
16,Documentary,"Chelsea Dittrich, Barbara Korczak, Jack Barsky, Robert Korczak",Unknown,A+E Studios,Unknown,Unknown,en,60,7.3,Documentary,en,4,0,0
17,"Comedy, Drama","Ken Yoshizawa, Masuo Kinugasa, Tomoko Katsura, Akemi Yamaguchi, Hidetoshi Kageyama, Akira Takahashi, Keiko Maki, Tatsuya Hamaguchi, Hidemi Hara",Akira Nakano,Nikkatsu Corporation,Noboru Tanaka,Ryoji Ito,ja,68,5.6,Comedy,ja,9,1,1
18,Music,Christopher Cross,Unknown,Unknown,Kenneth Botelho,Unknown,en,93,8.0,Music,en,1,0,1
19,Action,"Weng Hsiao-Hu, Li Kun, Chan Sing, Hsia Ling-Ling, Alan Chui Chung-San, Lung Fei, Ma Chin-Ku, Hsieh Hsing, Min Min, Don Wong Tao, Carter Wong, Chang Chi-Ping",Unknown,Unknown,Chang Hsin-Yi,"Alex Gouw, Ching Lan-Wing",cn,90,5.4,Action,cn,12,0,1
20,"Comedy, Horror","Spencer Austin, Lucinda Rhodes Thakrar, Kyri Saphiris",Jason Croot,New Breed Productions,Jason Croot,Unknown,en,62,4.2,Comedy,en,3,1,1
21,Drama,"David Leonard, Tracey Roberts, Dorothy Adams, Tom Steele, Henry Daniell, Audrey Dalton, Dayton Lummis, John Dehner, Patricia Iannone, I. Stanford Jolley, Eugene Mazzola, James Mitchell, Jay Novello, Joseph Wiseman, Allison Hayes, Paul Cavanagh, Joseph Mell, Taina Elg, Cecil Kellaway, Dorothy Neumann, Richard Devon, Charles Wagenheim, Francis L. Sullivan, John Damler, John Rosser, Ann Cameron, John George, Lana Turner, Walter Hampden, Louis Calhern, Edmund Purdom, Neville Brand, Chuck Roberson, Sandy Descher, Booth Colman, Gloria Dea, Philip Tonge, Phyllis Graffeo, Jarma Lewis, Peter DeBear, George Sawaya","Joseph I. Breen, Samuel James Larsen, Maurice Zimm",Metro-Goldwyn-Mayer,Richard Thorpe,Charles Schnee,en,112,4.5,Drama,en,41,3,1
22,Drama,"Hanns Zischler, Ernest Lenart, Gideon Shemer, Carola Regnier, Caroline Peters, Knut Berger, Lior Ashkenazi",Gal Uchovsky,"Lama Films, United King Films",Eytan Fox,"Amir Harel, Gal Uchovsky",he,103,6.902,Drama,he,7,1,1
23,"Action, Adventure, Science Fiction","Hiroshi Masuoka, Kazuyoshi Sakai, Daisuke Shima, Mami Higashiyama, Noboru Kaneko, Hidenari Ugaki, Hiroshi Miyauchi, Hisao Egawa, Kyousei Tsukui, Takeru Shibaki, Shôei, Miu Takeuchi, Shozo Iizuka, Takemi, Kouichi Sakaguchi, Kenji Shibata, Kei Horie, Rei Saito",Masanao Akahoshi,Toei Company,Noboru Takemoto,Unknown,ja,70,7.4,Action,ja,18,1,1
24,"Documentary, Music","Craig Jones, Corey Taylor, Chris Fehn, James Root, Joey Jordison, Mick Thomson, Shawn Crahan, Paul Gray, Sid Wilson",Unknown,Unknown,Shawn Crahan,Neil Zaugg,en,60,9.0,Documentary,en,9,0,1
25,"Action, Drama, War","Дмитрий Таланцев, Sergey Perelygin, Aleksandr Grishin, Vladimir Shulga, Aleksandr Golovin, Aleksandr Solovyov, Andrey Bobrov, Vadim Kolganov, Sergey Neudachin, Vasiliy Lykshin, Evgeny Sergeev, Andrei Panin, Rostislav Bershauer, Nikolay Kochura, Vladimir Kashpur, Vladimir Andreyev, Kirill Emelyanov, Andrey Krasko, Pavel Abdalov, Velimir Rusakov, Yury Sysoev, Aleksey Zaytsev, Dmitry Gorevoy, Denis Karasyov","Vladimir Kunin, Aleksandr Atanesyan","Paradise Production Center, Angel Film, Federal Agency for Culture and Cinematography of the Russian Federation",Aleksandr Atanesyan,"Armen Adilkhanyan, Yuriy Kushneryov, Gevorg Nersisyan",ru,97,6.015,Action,ru,24,2,1
26,"Action, Comedy, Adventure","Cynthia Coray, Mathis Künzler, Sascha Ley, Sabine Timoteo, Alexandra Prusa, Sascha Lara Bleuler, Janine Horsburgh, Maggie Shore, Hans-Peter Ulli, Milton Rodrigues Gomes, Celine Wenger, Nils Althaus, Myriam Muller, Kaspar Weiss, Gianin Loffler, Delphine Clairet, Antoine Monot Jr., Nina Bühlmann","Carla Lia Monti, Thomas Hess, Martin Muser","Dschoint Ventschr Filmproduktion, Paul Thiltges Distributions",Carla Lia Monti,Unknown,de,80,2.0,Action,de,18,3,1
27,Adventure,"Ezzatollah Entezami, Majid Mozaffari, Parviz Pourhosseini, Katayoun Riahi, Dariush Arjmand, Mehdi Fathi","Hassan Gholizadeh, Behnam Diani, Muhammad Bozorgnia",Unknown,Muhammad Bozorgnia,Unknown,fa,110,5.0,Adventure,fa,6,3,1
28,"Horror, Comedy","Nann Mogg, E.G. Marshall, Ed Harris, Joe Hill, Leslie Nielsen, Carrie Nye, David Early, Ted Danson, Jon Lormer, Charles Van Eman, Viveca Lindfors, David Garrison, Christine Forrest, Warner Shook, Cletus Anderson, Hal Holbrook, Carol McCloskey, Ann Muffly, Stephen King, Marty Schiff, Iva Jean Saraceni, Chuck Aber, Katie Karlovitz, Richard P. Rubinstein, Darryl Ferrucci, Adrienne Barbeau, John Amplas, Gaylen Ross, Bingo O'Malley, Tom Savini, Peter Messer, Tom Atkins, Fritz Weaver",Stephen King,"Creepshow Films Inc., Warner Bros. Pictures, Laurel Entertainment, United Film Distribution Company (UFDC)",George A. Romero,"Salah M. Hassanein, Richard P. Rubinstein",en,120,6.928,Horror,en,33,1,1
