room,showtime,id,version,attendance
R01,10:00,402101,2D,79
R01,12:15,402101,2D,79
R01,14:30,402101,2D,79
R01,18:00,812924,3D,92
R01,20:45,180219,2D,75
R01,00:30,829280,2D,80
R02,10:00,402101,2D,54
R02,12:15,402101,2D,54
R02,15:15,829280,2D,55
R02,18:30,402101,2D,54
R02,20:45,829280,2D,55
R02,00:30,829280,2D,55
R03,10:00,402101,2D,61
R03,12:15,402101,2D,61
R03,14:30,829280,2D,61
R03,18:30,402101,2D,61
R03,20:45,829280,2D,61
R03,00:30,829280,2D,61
R04,10:00,402101,2D,91
R04,12:15,180219,2D,86
R04,15:45,402101,2D,91
R04,18:00,812924,IMAX,106
R04,20:45,723921,2D,88
R04,01:00,180219,2D,86
R05,10:00,829280,2D,61
R05,12:45,402101,2D,61
R05,15:45,402101,2D,61
R05,18:30,402101,2D,61
R05,20:45,829280,2D,61
R05,00:30,829280,2D,61
R06,10:00,402101,2D,61
R06,12:15,402101,2D,61
R06,14:30,402101,2D,61
R06,18:00,812924,3D,70
R06,20:45,180219,2D,57
R06,00:30,829280,2D,61
R07,10:00,402101,2D,73
R07,12:15,402101,2D,73
R07,14:30,402101,2D,73
R07,18:00,812924,IMAX,85
R07,20:45,180219,2D,69
R07,00:30,829280,2D,74
R08,10:00,402101,2D,61
R08,12:15,402101,2D,61
R08,15:15,402101,2D,61
R08,18:00,812924,3D,70
R08,20:45,180219,2D,57
R08,00:30,829280,2D,61
