room,showtime,id,version,attendance
R01,10:00,402101,2D,101
R01,12:15,402101,2D,101
R01,14:30,402101,2D,101
R01,18:00,812924,3D,126
R01,20:45,290003,2D,104
R01,00:30,829280,2D,100
R02,10:00,829280,2D,69
R02,12:45,402101,2D,70
R02,15:45,402101,2D,70
R02,18:30,402101,2D,70
R02,20:45,829280,2D,69
R02,00:30,829280,2D,69
R03,10:00,402101,2D,77
R03,12:15,402101,2D,77
R03,15:00,829280,2D,77
R03,18:30,402101,2D,77
R03,20:45,829280,2D,77
R03,00:30,829280,2D,77
R04,10:00,676701,2D,118
R04,11:45,676701,2D,118
R04,15:00,402101,2D,116
R04,18:00,812924,IMAX,145
R04,20:45,290003,2D,120
R04,00:30,829280,2D,116
R05,10:00,829280,2D,77
R05,12:45,402101,2D,77
R05,15:45,402101,2D,77
R05,18:30,402101,2D,77
R05,20:45,829280,2D,77
R05,00:30,829280,2D,77
R06,10:00,829280,2D,77
R06,12:45,402101,2D,77
R06,15:30,402101,2D,77
R06,18:30,402101,2D,77
R06,20:45,829280,2D,77
R06,00:30,829280,2D,77
R07,10:00,402101,2D,93
R07,12:15,402101,2D,93
R07,15:45,402101,2D,93
R07,18:00,812924,IMAX,116
R07,20:45,290003,2D,96
R07,00:30,829280,2D,92
R08,10:00,402101,2D,77
R08,12:15,829280,2D,77
R08,15:30,402101,2D,77
R08,18:30,402101,2D,77
R08,20:45,829280,2D,77
R08,00:30,829280,2D,77


Best solution   : 85141.657350000
Best bound      : 85969.850033333
Best gap        : 0.9634%
Solve time      : 1.64
Solve node      : 1
MIP status      : solved
Solution status : integer optimal (relative gap limit 0.01)

Violations      :     absolute     relative
  bounds        :  9.99201e-15  9.99201e-15
  rows          :  1.98952e-12  9.99201e-15
  integrality   :  9.00391e-14
求解完成，耗时: 1.73 秒
求解状态: 1
最优目标值: 85141.66 元
优化成功！最大净收益: 85141.66 元
排片计划已保存到 df_result_2_copt.csv
总共安排了 48 场放映

=== 约束满足情况统计 ===
题材播放次数:
  Animation: 5 次 (要求: 1-5) ✓
  Horror: 0 次 (要求: 0-3) ✓
  Action: 6 次 (要求: 2-6) ✓
  Drama: 3 次 (要求: 1-6) ✓

版本播放时长:
  3D: 150 分钟 (上限: 1200 分钟) ✓
  IMAX: 300 分钟 (上限: 1500 分钟) ✓
