room,showtime,id,version,attendance
R01,10:00,192801,2D,83
R01,14:30,192801,2D,83
R01,18:00,723921,2D,84
R01,20:45,723921,2D,84
R01,23:30,979924,2D,74
R02,18:00,402101,2D,56
R03,18:15,402101,2D,62
R03,20:30,829280,2D,65
R03,24:30,663712,2D,50
R04,10:00,676701,2D,81
R04,11:45,676701,2D,81
R04,13:45,180219,2D,92
R04,18:00,180219,2D,92
R04,20:30,721193,IMAX,96
R04,24:15,979924,2D,86
R05,18:15,402101,2D,62
R05,20:30,829280,2D,65
R05,24:30,663712,2D,50
R06,18:00,829280,2D,65
R06,20:45,721193,3D,64
R07,18:15,192801,2D,76
R07,20:30,721193,IMAX,77
R07,25:00,979924,2D,69
R08,18:00,180219,2D,61
R08,20:15,723921,2D,64
R08,24:00,663712,2D,50
