lambda,alpha,rho,objective_value,total_revenue,total_attendance,movie_diversity,avg_profit
0.5,0.3,0.2,57628.225,112124.25,5217,5,1042.328125
0.5,0.3,0.3,57628.725,112124.25,5217,5,1042.328125
0.5,0.3,0.4,57629.225,112124.25,5217,5,1042.328125
0.5,0.5,0.2,58671.625,112124.25,5217,5,1042.328125
0.5,0.5,0.3,58672.125,112124.25,5217,5,1042.328125
0.5,0.5,0.4,58672.625,112124.25,5217,5,1042.328125
0.5,0.7,0.2,59715.025,112124.25,5217,5,1042.328125
0.5,0.7,0.3,59715.525,112124.25,5217,5,1042.328125
0.5,0.7,0.4,59716.025,112124.25,5217,5,1042.328125
1.0,0.3,0.2,113690.35,112124.25,5217,5,1042.328125
1.0,0.3,0.3,113690.85,112124.25,5217,5,1042.328125
1.0,0.3,0.4,113691.35,112124.25,5217,5,1042.328125
1.0,0.5,0.2,114733.75,112124.25,5217,5,1042.328125
1.0,0.5,0.3,114734.25,112124.25,5217,5,1042.328125
1.0,0.5,0.4,114734.75,112124.25,5217,5,1042.328125
1.0,0.7,0.2,115777.15,112124.25,5217,5,1042.328125
1.0,0.7,0.3,115777.65,112124.25,5217,5,1042.328125
1.0,0.7,0.4,115778.15,112124.25,5217,5,1042.328125
1.5,0.3,0.2,169752.475,112124.25,5217,5,1042.328125
1.5,0.3,0.3,169752.975,112124.25,5217,5,1042.328125
1.5,0.3,0.4,169753.475,112124.25,5217,5,1042.328125
1.5,0.5,0.2,170795.875,112124.25,5217,5,1042.328125
1.5,0.5,0.3,170796.375,112124.25,5217,5,1042.328125
1.5,0.5,0.4,170796.875,112124.25,5217,5,1042.328125
1.5,0.7,0.2,171839.275,112124.25,5217,5,1042.328125
1.5,0.7,0.3,171839.775,112124.25,5217,5,1042.328125
1.5,0.7,0.4,171840.275,112124.25,5217,5,1042.328125
